phodav 2.5-1
picom 8.2-1
pinentry 1.2.0-1
pixman 0.40.0-1
pkgconf 1.8.0-1
polkit 0.120-4
poppler 22.01.0-1
poppler-data 0.4.11-1
poppler-glib 22.01.0-1
popt 1.18-2
powertop 2.14-1
procps-ng 3.3.17-1
projectm 3.1.12-2
protobuf 3.19.4-1
psmisc 23.4-1
pulseaudio 15.0-1
pulseaudio-alsa 1:1.2.6-2
python 3.10.2-1
python-appdirs 1.4.4-6
python-cachecontrol 1:0.12.6-4
python-cairo 1.20.1-3
python-cairocffi 1.3.0-1
python-cffi 1.15.0-3
python-chardet 4.0.0-5
python-colorama 0.4.4-6
python-contextlib2 0.6.0.post1-6
python-cryptography 36.0.1-1
python-distlib 0.3.4-1
python-distro 1.6.0-4
python-gobject 3.42.0-3
python-html5lib 1.1-11
python-idna 3.3-3
python-more-itertools 8.10.0-4
python-msgpack 1.0.3-1
python-ordered-set 4.0.2-6
python-packaging 20.9-7
python-pep517 0.12.0-4
python-pip 20.3.4-4
python-ply 3.11-10
python-progress 1.6-5
python-pycparser 2.21-3
python-pyopenssl 21.0.0-5
python-pyparsing 2.4.7-6
python-requests 2.26.0-5
python-resolvelib 0.5.5-4
python-retrying 1.3.3-13
python-setuptools 1:59.1.1-1
python-six 1.16.0-5
python-toml 0.10.2-7
python-tomli 2.0.0-1
python-urllib3 1.26.8-1
python-webencodings 0.5.1-9
python-xcffib 0.11.1-3
python2 2.7.18-5
qalculate-gtk 3.22.0-1
qbittorrent 4.4.0-2
qemu 6.2.0-2
qt5-base 5.15.2+kde+r296-1
qt5-translations 5.15.2+kde+r20-2
qt5-x11extras 5.15.2-2
qt6-base 6.2.3-2
qt6-svg 6.2.3-2
qt6-translations 6.2.3-1
qtile 0.20.0-1
rav1e 0.4.1-1
re2 1:20211101-1
readline 8.1.001-1
rest 0.8.1+r4+ge5ee6ef-1
ripgrep 13.0.0-2
rsync 3.2.3-4
rtkit 0.13-1
run-parts 5.5-1
sdl 1:1.2.15+r406+gf1caf909-1
sdl2 2.0.20-1
sdl2_image 2.0.5-2
sdl_ttf 2.0.11-6
seabios 1.15.0-1
sed 4.8-1
semver 7.3.5-2
sg3_utils 1.47-1
shadow 4.8.1-4
shared-mime-info 2.0+115+gd74a913-1
shell-color-scripts 1.0.r64.2cf1cd6-1
slang 2.3.2-2
snappy 1.1.9-2
sound-theme-freedesktop 0.8-4
speex 1.2.0-3
speexdsp 1.2.0-2
spice 0.15.0-1
spice-gtk 0.39-3
sqlite 3.37.2-1
srt 1.4.4-1
startup-notification 0.12-7
sudo 1.9.8.p2-3
suitesparse 5.10.1-2
svt-av1 0.9.0-1
